,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12602,602,1,130202,100,2602948.899,22469.845274779924,20,4.450950897076757e-05,1.001
12603,603,100,130202,100,151655.024,22469.845274779924,20,4.450950897076757e-05,1.001
12604,604,1,118985,100,2378643.463,27554.942756622266,20,3.628695525340044e-05,9.405
12605,605,100,118985,100,152669.103,27554.942756622266,20,3.628695525340044e-05,9.405
12606,606,1,123438,100,2467713.667,22407.587366808577,20,4.463140587710667e-05,1.001
12607,607,100,123438,100,152169.405,22407.587366808577,20,4.463140587710667e-05,1.001
12608,608,1,129016,100,2579279.162,22620.13454996959,20,4.42132122460511e-05,0.898
12609,609,100,129016,100,106640.898,22620.13454996959,20,4.42132122460511e-05,0.898
12610,610,1,107725,100,2153436.881,17893.819382378726,20,5.58957846319609e-05,0.898
12611,611,100,107725,100,120065.2,17893.819382378726,20,5.58957846319609e-05,0.898
12612,612,1,137739,100,2753763.513,27221.209462433595,20,3.673637083984333e-05,8.397
12613,613,100,137739,100,123643.966,27221.209462433595,20,3.673637083984333e-05,8.397
12614,614,1,117159,100,2342084.609,26306.863840209277,20,3.800933081202162e-05,8.854
12615,615,100,117159,100,161270.502,26306.863840209277,20,3.800933081202162e-05,8.854
12616,616,1,111544,100,2229867.602,19732.5816277487,20,5.068352038531807e-05,1.001
12617,617,100,111544,100,112867.489,19732.5816277487,20,5.068352038531807e-05,1.001
12618,618,1,123423,100,2467416.722,23799.25525901033,20,4.201937412146602e-05,9.548
12619,619,100,123423,100,158825.04,23799.25525901033,20,4.201937412146602e-05,9.548
12620,620,1,131487,100,2628684.811,21662.517808772856,20,4.617018716823116e-05,1.209
12621,621,100,131487,100,131016.829,21662.517808772856,20,4.617018716823116e-05,1.209
12594,594,1,120018,100,2399406.301,22906.46438395996,20,4.365752734757889e-05,8.559
12593,593,100,127997,100,133718.834,22494.90217723413,20,4.4459298751155375e-05,1.001
12592,592,1,127997,100,2558957.153,22494.90217723413,20,4.4459298751155375e-05,1.001
12591,591,100,116318,100,88814.184,18782.451128550016,20,5.325209560823112e-05,2.312
12563,563,100,122129,100,114388.211,20373.38359981743,20,4.909162958811011e-05,1.001
12564,564,1,133350,100,2666000.734,23062.79935988103,20,4.336494681806248e-05,1.001
12565,565,100,133350,100,145486.889,23062.79935988103,20,4.336494681806248e-05,1.001
